package,pyrefly,pyright,ty,zuban
click,80.46,39.92,97.62,83.46
homeassistant,87.31,77.23,88.54,88.54
ixnetwork-restpy,99.62,99.62,99.62,99.62
kivy,93.08,75.85,96.15,96.15
numpy,91.46,92.54,90.31,92.00
pandas,89.00,88.69,89.38,89.31
plotly-stubs,100.00,66.80,92.00,68.80
pyarrow,66.54,63.23,78.46,67.62
pyopengl,91.46,92.15,92.23,92.38
pytest,91.69,91.08,91.85,92.54
requests,95.54,97.38,97.00,98.00
scipy,77.69,70.38,85.62,86.31
scipy-stubs,95.77,95.77,95.77,100.00
sphinx,91.31,90.54,91.15,91.77
torch,79.46,84.46,83.15,84.08
transformers,65.54,49.31,83.92,70.23
ujson,94.43,94.57,93.00,93.00
wagtail,91.23,40.77,93.38,95.23
